site_id,site_name,industry,country,region,latitude,longitude
2001,Black Thunder Mine,mining,United States,Wyoming,43.6069,-105.3188
2002,Minera Escondida,mining,Chile,Antofagasta,-24.2681,-69.0727
2003,North Ridge Infrastructure,construction,United States,Texas,31.9686,-99.9018
2004,Pilbara Iron Expansion,mining,Australia,Western Australia,-22.1000,119.0000
2005,Atlas Quarry,quarry,South Africa,Northern Cape,-28.7282,24.7499
2006,Blue Rock Aggregates,quarry,Canada,Ontario,44.2312,-76.4860
2007,Antamina Copper Mine,mining,Peru,Ancash,-9.5300,-77.0500
2008,Eastgate Civil Works,construction,United Kingdom,England,52.3555,-1.1743
2009,Fort Hills Mine,mining,Canada,Alberta,57.0000,-111.6000
2010,Coastal Highway Program,construction,India,Maharashtra,19.0760,72.8777
2011,Karoo Aggregates,quarry,South Africa,Western Cape,-33.9249,18.4241
2012,Sierra Nevada Gold,mining,Colombia,Antioquia,6.2442,-75.5812
2013,Great Plains Wind Farm,construction,United States,Kansas,38.5000,-98.0000
2014,Hunter Valley Coal,mining,Australia,New South Wales,-32.7500,151.3500
2015,Andes Materials,quarry,Chile,Valparaiso,-33.0472,-71.6127
2016,Rhine Industrial Park,construction,Germany,North Rhine-Westphalia,51.1657,10.4515
2017,Alberta Roadworks,construction,Canada,Alberta,53.9333,-116.5765
2018,Maputo Limestone,quarry,Mozambique,Maputo,-25.9692,32.5732
2019,Sonoran Copper,mining,Mexico,Sonora,29.0729,-110.9559
2020,Jakarta Metro Extension,construction,Indonesia,Jakarta,-6.2088,106.8456
2021,Nordic Granite,quarry,Sweden,Vasterbotten,64.7502,20.9509
2022,Kalahari Manganese,mining,South Africa,Northern Cape,-27.5000,22.7000
2023,Pacific Port Expansion,construction,United States,California,37.7749,-122.4194
2024,Patagonia Stone,quarry,Argentina,Santa Cruz,-50.3403,-72.2648
