order_id,machine_id,order_ts,part_number,quantity,order_status,lead_time_days
9001,1001,2024-01-18 10:00:00,6I-2501,2,delivered,2
9002,1001,2024-01-19 08:00:00,1R-1808,4,delivered,3
9003,1002,2024-01-14 09:30:00,1R-0771,3,delivered,4
9004,1003,2024-01-13 12:15:00,265-7678,1,delivered,5
9005,1003,2024-01-18 14:00:00,1R-1808,2,shipped,3
9006,1004,2024-01-15 11:00:00,6Y-3531,8,delivered,7
9007,1005,2024-01-12 13:30:00,126-1817,3,delivered,2
9008,1005,2024-01-18 15:00:00,180-7392,1,processing,6
9009,1006,2024-01-14 10:00:00,1R-1807,2,delivered,2
9010,1006,2024-01-17 14:30:00,153-5710,1,delivered,1
9011,1007,2024-01-15 09:15:00,179-9778,2,delivered,4
9012,1007,2024-01-20 08:45:00,234-4444,1,backordered,9
9013,1008,2024-01-17 10:30:00,9W-8874,12,delivered,3
9014,1009,2024-01-13 12:30:00,1R-1808,2,delivered,5
9015,1010,2024-01-14 08:30:00,315-0935,1,delivered,4
9016,1010,2024-01-22 11:15:00,450-6580,1,shipped,6
9017,1011,2024-01-18 09:45:00,1R-1807,2,delivered,3
9018,1012,2024-01-20 11:00:00,245-3819,1,delivered,2
9019,1013,2024-01-22 08:00:00,6Y-3531,4,processing,5
9020,1014,2024-01-24 09:00:00,7T-3402,2,delivered,4
9021,1015,2024-01-25 10:15:00,126-1817,2,delivered,2
9022,1016,2024-01-26 10:30:00,1R-1807,2,delivered,3
9023,1017,2024-01-27 08:45:00,5P-6089,6,shipped,4
9024,1018,2024-01-28 09:30:00,395-1281,1,processing,5
