reading_id,machine_id,reading_ts,engine_hours,fuel_rate_gph,coolant_temp_c,oil_pressure_psi,payload_tons,idle_flag,fault_code
5001,1001,2024-01-03 06:00:00,18420.5,72.4,91.2,58.6,218.4,false,
5002,1001,2024-01-10 06:00:00,18504.2,74.1,93.5,57.9,224.1,false,E1004
5003,1001,2024-01-17 06:00:00,18588.7,76.8,101.7,54.2,219.8,false,E1001
5004,1002,2024-01-04 07:00:00,16205.1,70.6,89.7,59.8,214.6,false,
5005,1002,2024-01-11 07:00:00,16288.9,69.8,90.1,60.2,221.3,false,
5006,1003,2024-01-05 08:00:00,12110.8,71.3,92.4,58.1,216.9,false,P3001
5007,1003,2024-01-12 08:00:00,12194.4,73.5,95.8,56.9,220.5,false,
5008,1004,2024-01-03 06:30:00,13987.2,24.7,87.6,61.3,0.0,true,
5009,1004,2024-01-10 06:30:00,14046.8,31.2,90.2,60.7,0.0,false,
5010,1005,2024-01-04 05:45:00,7288.6,28.9,96.4,59.1,0.0,false,H2004
5011,1005,2024-01-11 05:45:00,7351.3,30.1,97.1,58.4,0.0,false,
5012,1006,2024-01-05 06:15:00,8934.4,18.6,88.5,62.8,12.4,false,
5013,1006,2024-01-12 06:15:00,8996.7,19.1,89.3,62.1,14.1,false,EL4001
5014,1007,2024-01-06 07:30:00,5122.0,17.4,86.9,63.4,11.8,false,
5015,1007,2024-01-13 07:30:00,5184.9,20.8,92.1,61.5,13.0,false,H2001
5016,1008,2024-01-03 08:00:00,10428.3,16.9,87.2,64.2,8.7,false,
5017,1008,2024-01-10 08:00:00,10492.1,17.8,88.8,63.8,9.2,false,
5018,1009,2024-01-04 09:00:00,6889.5,18.1,90.4,62.3,10.4,false,P3003
5019,1009,2024-01-11 09:00:00,6954.6,18.7,91.0,61.9,11.1,false,
5020,1010,2024-01-05 05:30:00,4375.2,34.5,89.1,58.7,28.6,false,
5021,1010,2024-01-12 05:30:00,4442.8,36.2,94.6,57.8,30.1,false,P3005
5022,1011,2024-01-06 06:45:00,11204.7,15.8,86.3,64.9,9.5,false,
5023,1012,2024-01-07 07:15:00,2388.1,14.9,84.7,65.4,7.9,false,EL4004
5024,1013,2024-01-08 06:00:00,9763.6,27.6,93.8,60.5,0.0,false,
5025,1014,2024-01-09 06:30:00,10985.4,63.8,90.6,59.4,196.2,false,
5026,1015,2024-01-10 07:00:00,6450.8,22.3,88.9,63.7,24.8,false,
5027,1016,2024-01-11 07:30:00,12044.1,17.1,85.6,64.5,10.1,false,E1005
5028,1017,2024-01-12 08:00:00,3255.9,20.2,89.8,62.6,0.0,false,
5029,1018,2024-01-13 08:30:00,1844.7,31.4,91.5,60.1,25.3,false,
5030,1021,2024-01-14 06:00:00,4288.3,78.9,104.2,48.5,236.7,false,E1002
